,Name,Established Year,Region,Latitude,Longitude
9165,"Sobel's Obscure Brewery, LLC",,pennsylvania,40.215724,-79.6100155
287,Hitchhiker Brewing Co.,,pa,40.4962382,-79.9263855
6250,Wadsworth Brewing Company,,ohio,41.0249972,-81.7299205
9541,Wild Onion Brewing,,illinois,41.8865349,-87.8031516
3187,Soundgrowler Brewing Co.,2016,illinois,41.5558216,-87.818809
8410,Off the wagon brewery and kitchen,,florida,27.0552682,-82.4109516
8320,The Larimer Beer Company,,colorado,39.7558119,-104.9680914
8317,The Larimer Beer Company,,colorado,39.7558119,-104.9680914
6043,Luminous Brewhouse,,Wyoming,44.7997919,-106.952986
6768,Angry Buffalo Brewing Company,,Wyoming,42.8434909,-106.2797079
7825,Wyoming Territory Brewing Company,,Wyoming,44.526084,-109.057264
2238,Roadhouse Brewing Company,2012,Wyoming,43.4624,-110.798
9163,Snowy Mountain Brewery,1995,Wyoming,41.4529922,-106.8015215
6073,Ten Sleep Brewing Company,,Wyoming,44.029851,-107.4693558
8028,Sanford's Grub and Pub Brewery,,Wyoming,44.8006868,-106.9556779
5491,Gillette Brewing Company,2012,Wyoming,44.2921909,-105.5039385
5470,Jackson Hole Brewing Comapny,2012,Wyoming,43.4799291,-110.7624282
6008,Coal Creek TAP,,Wyoming,41.3109894,-105.5957587
5982,Sheep Mountain Brewery LLC,,Wyoming,41.3113669,-105.5911007
5955,HeadStrong Brewery,2012,Wyoming,42.760612,-105.384466
537,Cowboy State Brewing,2018,Wyoming,42.8616375,-105.8716246
5084,Bottom's Up Brewing,,Wyoming,42.8665734,-109.8658053
8070,Shadows Pub and Grill,,Wyoming,41.1319343,-104.8142247
7663,WYOld West Brewing Company,,Wyoming,44.7546391,-108.7569372
433,Sweetwater Brewing,,Wyoming,42.850095,-106.327734
5600,Thai Me Up Restaurant & Brewery,,Wyoming,43.47997,-110.762354
5924,Millstone Pizza Company & Brewery,,Wyoming,44.5263818,-109.0663188
6820,Melvin Brewing,2010,Wyoming,43.4786711,-110.7612312
4104,Danielmark’s Brewing Comapny Inc,,Wyoming,41.1352877,-104.8136568
5902,Pat O'Hara Brewing Company,,Wyoming,44.526489,-109.05862
9268,Black Tooth Brewing Company,2010,Wyoming,44.801034,-106.953425
1238,Frontier Brewing and Taproom,,Wyoming,42.8485874,-106.3246141
6959,Wind River Brewing Company,1997,Wyoming,42.8665738,-109.8658053
7801,Wyoming State Brewing Company,,Wyoming,42.847645,-106.325566
