Index,Name,Year Opened,Region,Latitude,Longitude
1,(512) Brewing Company,2008,Texas,30.2234,-97.769736
2,#FREEDOM Craft Brewery,2012,New York,41.2645348,-73.9356068
3,10 Barrel Brewing Company,2006,Idaho,43.617859,-116.202689
4,10 Barrel Brewing Company,2006,Oregon,44.0562359,-121.3286052
5,10 Barrel Brewing Company,2006,Oregon,44.089005,-121.285385
6,10 Barrel Brewing Company,2006,Oregon,44.0863837,-121.2806916
7,101 Cider House,2013,California,34.1540847,-118.80249
8,10K Brewing,2014,Minnesota,45.1982352,-93.3896162
9,1188 Brewing Company,2012,Oregon,44.4161059,-118.9518719
10,12 West Brewing Co.,2016,Arizona,33.4154694,-111.8321269
11,127 Brewing,2014,Michigan,42.2860115,-84.4312613
12,12Degree Brewing,2013,Colorado,39.9782693,-105.13192
13,13 Below Brewery,2017,Ohio,39.126831,-84.70723
14,13 Stripes Brewery,2016,South Carolina,34.9201003,-82.287138
15,13 Virtues Brewing Co,1994,Oregon,45.4762533,-122.6488352
16,14er Brewing Company,2015,Colorado,39.7614387,-104.9838836
17,14th Star Brewing,1972,Vermont,44.8150433,-73.0818275
18,16 Mile Brewing Company,2009,Delaware,38.678769,-75.3781533
19,1718 Brewing Ocracoke,2017,North Carolina,35.1074834,-75.9718368
20,1781 Brewing Company,2016,Virginia,38.3244935,-77.7188554
21,1817 Brewery,2015,Mississippi,33.9842768,-88.488099
22,1850 Brewing Company,2017,California,37.4696579,-119.9505829
23,18th Street Brewery,2010,Indiana,41.5990572,-87.267179
24,1912 Brewing Company,2015,Arizona,32.246456,-110.9938334
25,192 Brewing Company,2009,Washington,47.7565288,-122.2422298
26,1933 Brewing Company,2014,Colorado,40.5311387,-105.0801963
27,1940's Brewing Company,2014,New York,40.783329,-73.08329
28,1974 Brewing Company,2012,Pennsylvania,40.2453741,-75.6496302
29,2 Basset Brewery,2016,Montana,46.54816,-110.9010709
30,2 Feet Brewing Company,2016,Maine,44.800228,-68.7727573
31,2 Silos Brewing Co,2017,Virginia,38.7424187,-77.5215653
32,2 Towns Ciderhouse,2010,Oregon,44.5633722,-123.2259542
33,2 Way Brewing Company,2014,New York,41.5083675,-73.9810105
34,"2 Witches Winery and Brewing Company, Inc.",2012,Virginia,36.5858251,-79.4213237
35,212 Brewing Company,2013,New York,40.7393898,-73.989285
36,217 Brew Works,2016,North Carolina,35.7229467,-77.9121525
37,21st Amendment Brewery,2000,California,37.7824892,-122.3924905
38,21st Amendment Brewery,2000,California,37.7131202,-122.170665
39,238 Brewing Company,2015,Washington,47.830388,-117.265603
40,23rd Street Brewery,2006,Kansas,38.9429975,-95.2810862
41,26 Degree Brewing Company,2014,Florida,26.2312818,-80.0975418
42,28th State Brewing,2016,Texas,29.9716905,-95.6937856
43,2kids Brewing Company,2013,California,32.8966077,-117.1373279
44,2SP Brewing Company,2015,Pennsylvania,39.8554651,-75.4036331
45,3 Beards Beer Company,2010,Massachusetts,42.2022941,-72.6046857
46,3 Guys and a Beer'd Brewing Company,2012,Pennsylvania,41.5792865,-75.5015333
