"",,,,,ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,,,,
"",,,,,TAX DETERMINED (In Barrels)*,,,,
"",,,,,Beer removed for consumption or sale including beer,,,,
"",,,,,removed tax determined for consumption or sale,,,,
"",,,,,in a tavern or on brewery premises,,,,
"",,,,,23-Mar-18,,,,
STATE,2007,2008,2009,2010,2011 2012 2013,2014,2015**,2016**,2017**
AK,"2,415.76","2,067.69","2,263.65","1,929.15","2,251.02 2,312.43 2,155.60","2,114.97","4,511.48","13,315.93","15,649.51"
AL,658.60,723.53,238.60,161.24,0.00 46.50 130.55,226.25,"6,109.99","23,810.78","27,651.36"
AR,"1,246.00","1,328.35","1,279.34","1,331.85","1,124.98 1,265.93 558.14",657.12,"1,609.38","6,091.89","9,499.40"
AZ,"15,668.09","14,857.81","15,640.69","16,800.24","19,897.83 19,165.96 18,763.52","17,173.00","29,869.10","41,613.95","43,712.65"
CA,"63,557.26","61,172.74","54,504.99","58,276.38","65,069.70 64,239.95 60,559.56","65,035.40","124,974.70","201,066.01","248,521.97"
CO,"48,316.88","48,528.59","49,895.79","50,584.87","60,811.37 57,966.73 60,133.43","72,839.26","121,814.79","141,312.55","142,288.21"
CT,"2,993.33","2,205.67","2,075.57","1,988.38","2,530.80 1,876.05 1,770.05","1,447.60","13,218.19","10,705.61","18,811.61"
DC,"2,905.21","2,957.74","2,948.61","3,574.26","1,676.54 1,572.75 2,250.90","4,504.30","7,207.31","8,969.72","9,277.98"
DE,"2,396.49","2,005.33","2,205.38","2,308.99","2,541.38 2,718.28 2,868.28","2,771.70","5,865.02","7,647.56","8,954.17"
FL,"8,376.90","7,078.61","6,426.66","7,554.46","6,761.68 6,817.80 6,440.29","6,585.28","38,265.32","88,092.72","113,566.64"
GA,"3,949.61","3,751.97","3,038.61","4,165.69","4,248.35 3,480.30 4,647.37","4,432.32","17,920.74","30,539.97","36,601.97"
HI,"2,728.47","1,875.20","1,578.85","1,680.25","1,886.65 2,084.01 1,972.63","1,380.60","4,131.20","5,623.03","8,421.60"
IA,"6,202.53","6,817.26","6,487.26","6,597.31","6,808.03 6,515.51 6,003.19","5,676.54","17,866.34","29,975.60","47,348.70"
