,State,Median inc (2014),Mean inc (2014),Poverty (2014)
1,Alabama,43511,60205,14.6
2,Alaska,71829,88583,7.0
3,Arizona,49928,67557,13.3
4,Arkansas,41264,56824,14.3
5,California,61489,86704,12.3
6,Colorado,59448,79990,8.8
7,Connecticut,69899,99110,7.5
8,Delaware,60231,78589,8.2
9,District of Columbia,69235,104615,14.3
10,Florida,47212,67143,12.2
11,Georgia,49342,68317,14.2
12,Hawaii,68201,85972,7.8
13,Idaho,47334,61544,11.0
14,Illinois,57166,78521,10.5
15,Indiana,48737,63736,11.3
16,Iowa,52716,67621,8.2
17,Kansas,51872,69271,9.4
18,Kentucky,43342,59312,14.4
19,Louisiana,44991,63565,15.1
20,Maine,48804,64327,9.4
21,Maryland,74149,97135,6.9
22,Massachusetts,67846,92850,8.3
23,Michigan,49087,65790,12.1
24,Minnesota,60828,79106,7.5
25,Mississippi,39464,54881,17.7
26,Missouri,47764,64703,11.1
27,Montana,46766,62086,10.0
28,Nebraska,52400,68081,8.9
29,Nevada,52205,69351,11.5
30,New Hampshire,65986,84480,5.7
31,New Jersey,72062,98286,8.1
32,New Mexico,44968,62136,16.1
33,New York,58687,85736,12.0
34,North Carolina,46693,64555,13.0
35,North Dakota,55579,73272,7.3
36,Ohio,48849,65491,11.7
37,Oklahoma,46235,62871,12.6
38,Oregon,50521,67671,11.5
39,Pennsylvania,53115,72210,9.3
40,Rhode Island,56423,76618,10.0
41,South Carolina,45033,61196,13.9
42,South Dakota,50338,65425,9.2
43,Tennessee,44621,62344,13.4
44,Texas,52576,73913,13.7
45,Utah,59846,75204,9.4
46,Vermont,54447,70524,7.8
47,Virginia,64792,88413,8.2
48,Washington,60294,79195,9.1
49,West Virginia,41576,55976,13.1
50,Wisconsin,52738,68319,8.9
51,Wyoming,58252,72367,8.0
