,State Breweries,State Code,Region,Division,2010 B/A,2011 B/A,2012 B/A,2013 B/A,2014 B/A,2015 B/A,2016 B/A,2017 B/A,2018 B/A
0,Alabama,AL,South,East South Central,0.013821700069108501,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
1,Alaska,AK,West,Pacific,0.0035048305326816688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Arizona,AZ,West,Mountain,0.0325721428948712,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
3,Arkansas,AR,South,West South Central,0.009608917075045643,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
4,California,CA,West,Pacific,0.22981274754620326,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.8
5,Colorado,CO,West,Mountain,0.12446691495725672,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5
6,Connecticut,CT,Northeast,New England,0.43370508054522927,0.4,0.5,0.8,1.0,1.2,1.6,2.1,2.6
7,Delaware,DE,South,South Atlantic,0.5643919958953308,0.6,0.7,0.7,0.8,1.1,1.3,1.7,1.9
8,District of Columbia,DC,South,South Atlantic,6.557377049180328,9.8,8.2,18.0,19.7,21.3,21.3,21.3,21.3
9,Florida,FL,South,South Atlantic,0.11188811188811189,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7
10,Georgia,GA,South,South Atlantic,0.04520717055274459,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2
11,Hawaii,HI,West,Pacific,0.1712595360423478,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.6
12,Idaho,ID,West,Mountain,0.030250595936739955,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
13,Illinois,IL,Midwest,East North Central,0.1116734811505971,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6
14,Indiana,IN,Midwest,East North Central,0.12002456316641545,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7
15,Iowa,IA,Midwest,West North Central,0.048337719533809546,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
16,Kansas,KS,Midwest,West North Central,0.0207928179160704,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
17,Kentucky,KY,South,East South Central,0.035455604518057036,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
18,Louisiana,LA,South,West South Central,0.027775205999444493,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
19,Maine,ME,Northeast,New England,0.14265797749894626,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5
20,Maryland,MD,South,South Atlantic,0.24724425672195322,0.3,0.4,0.4,0.6,0.8,0.9,1.2,1.5
21,Massachusetts,MA,Northeast,New England,0.6153846153846154,0.7,0.8,1.1,1.3,1.6,1.9,2.4,2.9
22,Michigan,MI,Midwest,East North Central,0.19632466085357012,0.2,0.3,0.3,0.5,0.6,0.7,0.8,0.9
23,Minnesota,MN,Midwest,West North Central,0.05274592788878144,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3
24,Mississippi,MS,South,East South Central,0.006393453104021481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
