,State Breweries,State Code,Region,Division,2010 B/P,2011 B/P,2012 B/P,2013 B/P,2014 B/P,2015 B/P,2016 B/P,2017 B/P,2018 B/P
0,Alabama,AL,South,East South Central,0.1,0.2,0.3,0.5,0.5,0.6,0.8,1.1,1.1
1,Alaska,AK,West,Pacific,2.8,3.2,3.4,3.4,3.8,4.7,4.9,6.1,6.9
2,Arizona,AZ,West,Mountain,0.6,0.7,0.8,0.9,1.1,1.3,1.6,1.8,2.0
3,Arkansas,AR,South,West South Central,0.2,0.2,0.4,0.6,0.8,1.0,1.1,1.5,1.8
4,California,CA,West,Pacific,1.0,1.1,1.2,1.4,1.7,2.0,2.4,2.8,3.1
5,Colorado,CO,West,Mountain,2.6,2.9,3.6,4.4,5.6,6.5,7.0,8.0,8.8
6,Connecticut,CT,Northeast,New England,0.6,0.6,0.7,1.1,1.4,1.6,2.1,2.9,3.5
7,Delaware,DE,South,South Atlantic,1.2,1.3,1.4,1.4,1.6,2.2,2.6,3.4,3.9
8,District of Columbia,DC,South,South Atlantic,0.7,1.0,0.8,1.7,1.8,1.9,1.9,1.9,1.9
9,Florida,FL,South,South Atlantic,0.3,0.4,0.5,0.6,0.8,1.0,1.3,1.6,1.8
10,Georgia,GA,South,South Atlantic,0.3,0.3,0.3,0.4,0.5,0.5,0.7,1.0,1.2
11,Hawaii,HI,West,Pacific,0.8,0.9,1.1,1.2,1.4,1.8,1.6,2.0,2.7
12,Idaho,ID,West,Mountain,1.6,2.1,2.4,2.6,3.1,3.5,4.0,4.4,5.0
13,Illinois,IL,Midwest,East North Central,0.5,0.5,0.7,1.0,1.3,1.6,1.9,2.3,2.7
14,Indiana,IN,Midwest,East North Central,0.7,0.9,1.1,1.4,1.8,2.3,2.5,3.2,3.5
15,Iowa,IA,Midwest,West North Central,0.9,1.1,1.5,1.7,1.9,2.3,3.0,3.7,4.0
16,Kansas,KS,Midwest,West North Central,0.6,0.7,0.7,0.9,0.9,1.3,1.6,1.8,2.2
17,Kentucky,KY,South,East South Central,0.3,0.5,0.6,0.6,0.9,1.1,1.4,1.6,1.9
18,Louisiana,LA,South,West South Central,0.3,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.0
19,Maine,ME,Northeast,New England,3.3,3.7,4.0,4.5,5.3,6.3,7.7,9.8,12.3
20,Maryland,MD,South,South Atlantic,0.4,0.4,0.7,0.7,0.9,1.2,1.5,1.9,2.3
21,Massachusetts,MA,Northeast,New England,0.7,0.8,1.0,1.2,1.4,1.8,2.1,2.8,3.3
22,Michigan,MI,Midwest,East North Central,1.1,1.3,1.6,2.0,2.6,3.2,3.8,4.5,5.1
23,Minnesota,MN,Midwest,West North Central,0.8,1.0,1.3,1.4,2.1,2.6,3.0,3.8,4.3
24,Mississippi,MS,South,East South Central,0.1,0.0,0.1,0.2,0.3,0.5,0.5,0.5,0.6
25,Missouri,MO,Midwest,West North Central,0.9,0.9,1.0,1.0,1.3,1.5,1.9,2.4,2.7
26,Montana,MT,West,Mountain,3.1,3.5,4.1,4.8,6.1,7.2,7.6,9.3,10.2
27,Nebraska,NE,Midwest,West North Central,0.9,1.0,1.1,1.3,1.9,2.1,2.5,2.8,3.1
28,Nevada,NV,West,Mountain,0.7,0.7,0.8,0.9,1.2,1.4,1.5,1.5,1.6
29,New Hampshire,NH,Northeast,New England,1.4,1.6,1.9,2.6,3.5,4.7,5.4,6.5,7.8
30,New Jersey,NJ,Northeast,Middle Atlantic,0.3,0.4,0.3,0.4,0.6,0.8,1.1,1.4,1.6
31,New Mexico,NM,West,Mountain,1.3,1.4,1.8,2.3,2.9,3.4,4.1,5.3,5.9
32,New York,NY,Northeast,Middle Atlantic,0.5,0.6,0.8,1.0,1.3,1.7,2.0,2.4,2.7
33,North Carolina,NC,South,South Atlantic,0.6,0.7,1.0,1.3,1.6,2.1,2.6,3.2,3.7
34,North Dakota,ND,Midwest,West North Central,0.4,0.4,1.0,1.1,1.4,1.5,2.0,2.9,3.4
35,Ohio,OH,Midwest,East North Central,0.7,0.7,0.9,1.0,1.3,1.6,2.0,2.8,3.2
36,Oklahoma,OK,South,West South Central,0.3,0.3,0.3,0.4,0.5,0.5,0.7,1.1,1.4
37,Oregon,OR,West,Pacific,3.1,3.8,4.6,5.6,6.2,7.0,7.4,8.4,9.2
38,Pennsylvania,PA,Northeast,Middle Atlantic,0.9,1.1,1.3,1.4,1.8,2.2,2.6,3.2,3.7
39,Rhode Island,RI,Northeast,New England,0.5,0.6,0.9,1.1,1.3,1.4,1.6,2.6,3.1
40,South Carolina,SC,South,South Atlantic,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.7,1.8
41,South Dakota,SD,Midwest,West North Central,1.0,1.1,1.4,1.4,1.8,2.2,2.4,3.2,4.0
42,Tennessee,TN,South,East South Central,0.4,0.5,0.7,0.8,1.1,1.3,1.5,1.8,2.1
43,Texas,TX,South,West South Central,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.2,1.3
44,Utah,UT,West,Mountain,0.7,0.6,0.8,0.8,0.9,1.0,1.1,1.3,1.5
45,Vermont,VT,Northeast,New England,5.1,5.4,6.2,7.2,8.2,10.6,11.7,13.5,14.4
46,Virginia,VA,South,South Atlantic,0.5,0.7,0.8,1.0,1.4,1.9,2.5,3.4,3.9
47,Washington,WA,West,Pacific,2.3,2.8,3.3,3.8,4.5,5.3,5.8,6.7,7.2
