,State,State Code,Region,Division,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Alaska,AK,West,Pacific,0,0,0,0,0,0,0,3,4,3,3,5,11,16,14,19.0,17.0,17.0,19.0,15.0,13.0,15.0,14,15,16,18,20.0,23,25.0,25.0,28.0,35.0,36.0,45.0,51.0
1,Alabama,AL,South,East South Central,0,0,0,0,0,0,0,0,0,0,0,5,8,8,9,9.0,7.0,4.0,3.0,3.0,5.0,5.0,4,5,5,5,7.0,9,15.0,23.0,25.0,30.0,37.0,52.0,55.0
2,Arkansas,AR,South,West South Central,0,0,0,0,0,0,0,0,0,0,3,3,3,4,5,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4,4,4,5,5.0,7,13.0,18.0,23.0,29.0,34.0,44.0,53.0
3,Arizona,AZ,West,Mountain,0,0,0,0,0,6,8,8,7,7,11,11,17,34,40,48.0,45.0,45.0,39.0,36.0,31.0,31.0,33,33,33,34,37.0,45,55.0,59.0,77.0,91.0,110.0,130.0,146.0
4,California,CA,West,Pacific,9,12,15,23,39,50,67,76,93,115,127,167,218,259,273,289.0,281.0,266.0,270.0,278.0,282.0,278.0,293,310,333,340,358.0,401,472.0,528.0,654.0,788.0,927.0,1106.0,1236.0
5,Colorado,CO,West,Mountain,0,0,0,0,3,7,11,22,27,38,51,74,92,112,105,102.0,102.0,102.0,102.0,99.0,99.0,104.0,102,112,117,116,129.0,149,185.0,234.0,300.0,352.0,386.0,448.0,500.0
6,Connecticut,CT,Northeast,New England,0,0,0,0,0,0,0,0,0,0,0,0,12,22,25,26.0,27.0,22.0,17.0,17.0,20.0,19.0,18,19,21,19,21.0,20,24.0,39.0,50.0,59.0,76.0,103.0,124.0
7,District of Columbia,DC,South,South Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4,3,3,3,4.0,6,5.0,11.0,12.0,13.0,13.0,13.0,13.0
8,Delaware,DE,South,South Atlantic,0,0,0,0,0,0,0,0,0,0,0,4,5,6,8,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9,10,9,11,11.0,12,13.0,13.0,15.0,21.0,25.0,33.0,38.0
9,Florida,FL,South,South Atlantic,0,0,0,0,3,6,7,13,17,22,27,36,62,86,96,97.0,92.0,84.0,83.0,78.0,74.0,69.0,51,50,61,52,60.0,71,89.0,113.0,158.0,205.0,264.0,338.0,386.0
