,State Pop,2010 PD,2011 PD,2012 PD,2013 PD,2014 PD,2015 PD,2016 PD,2017 PD,2018 PD
0,Alabama,94.4,94.8,95.1,95.4,95.6,95.8,96.1,96.3,96.5
1,Alaska,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
2,Arizona,56.3,57.0,57.7,58.4,59.3,60.2,61.1,62.1,63.1
3,Arkansas,56.0,56.5,56.7,56.9,57.0,57.2,57.5,57.7,57.9
4,California,239.1,241.6,243.7,245.7,247.9,250.1,251.7,252.9,253.9
5,Colorado,48.5,49.4,50.1,50.9,51.6,52.6,53.5,54.2,55.0
6,Connecticut,738.1,741.0,742.3,742.4,742.4,740.9,739.1,738.1,737.8
7,Delaware,460.7,465.5,469.6,473.9,478.5,483.0,487.0,491.1,496.2
8,District of Columbia,9864.3,10157.4,10405.3,10662.8,10860.9,11069.7,11255.3,11404.8,11515.7
9,Florida,350.6,356.1,360.4,364.8,370.4,377.1,384.7,391.2,397.2
10,Georgia,168.4,170.4,172.2,173.4,175.1,177.0,179.2,181.1,182.9
11,Hawaii,211.8,214.7,217.2,219.3,220.3,221.5,222.3,221.7,221.2
12,Idaho,19.0,19.2,19.3,19.5,19.7,20.0,20.4,20.8,21.2
13,Illinois,231.1,231.8,232.1,232.3,232.2,231.7,231.0,230.3,229.5
14,Indiana,181.0,181.9,182.5,183.3,184.0,184.5,185.2,185.9,186.8
15,Iowa,54.5,54.9,55.1,55.4,55.7,55.9,56.1,56.3,56.5
16,Kansas,34.9,35.1,35.3,35.4,35.5,35.6,35.6,35.6,35.6
17,Kentucky,109.9,110.7,111.1,111.6,111.8,112.1,112.4,112.8,113.2
18,Louisiana,104.9,105.9,106.5,107.0,107.5,108.0,108.3,108.1,107.9
19,Maine,43.1,43.1,43.0,43.1,43.1,43.1,43.2,43.3,43.4
20,Maryland,594.8,601.5,606.5,610.3,613.8,616.7,618.6,620.7,622.5
21,Massachusetts,839.4,847.8,854.3,860.8,867.1,871.3,875.1,879.9,884.9
22,Michigan,174.8,174.8,175.0,175.3,175.6,175.7,176.0,176.5,176.8
23,Minnesota,66.6,67.1,67.5,68.0,68.5,68.9,69.4,69.9,70.5
24,Mississippi,63.2,63.5,63.6,63.7,63.7,63.7,63.7,63.7,63.6
25,Missouri,87.1,87.4,87.6,87.9,88.1,88.3,88.6,88.9,89.1
26,Montana,6.8,6.9,6.9,7.0,7.0,7.1,7.2,7.2,7.3
27,Nebraska,23.8,24.0,24.1,24.3,24.5,24.6,24.8,25.0,25.1
28,Nevada,24.6,24.7,25.0,25.3,25.7,26.1,26.6,27.1,27.6
29,New Hampshire,147.0,147.4,147.9,148.2,148.9,149.3,149.9,150.8,151.5
30,New Jersey,1195.5,1200.4,1202.8,1204.6,1205.7,1206.3,1206.8,1208.7,1211.4
31,New Mexico,17.0,17.2,17.2,17.3,17.2,17.2,17.3,17.3,17.3
32,New York,411.2,413.8,415.4,416.5,417.1,417.2,416.8,415.7,414.7
33,North Carolina,196.1,198.6,200.5,202.5,204.3,206.4,208.9,211.3,213.6
34,North Dakota,9.7,9.9,10.2,10.5,10.7,10.9,10.9,10.9,11.0
35,Ohio,282.3,282.5,282.6,283.3,284.0,284.3,284.7,285.5,286.1
36,Oklahoma,54.7,55.2,55.7,56.2,56.5,57.0,57.2,57.3,57.5
37,Oregon,39.9,40.3,40.6,40.9,41.3,41.8,42.6,43.2,43.7
38,Pennsylvania,283.9,284.8,285.3,285.6,285.8,285.8,285.7,285.9,286.2
39,Rhode Island,1018.0,1018.9,1019.9,1020.4,1021.3,1021.4,1022.3,1021.7,1022.5
40,South Carolina,153.9,155.4,156.9,158.5,160.5,162.7,164.9,167.0,169.1
41,South Dakota,10.7,10.9,11.0,11.1,11.2,11.3,11.4,11.5,11.6
42,Tennessee,153.9,155.1,156.5,157.5,158.6,159.8,161.1,162.7,164.2
43,Texas,96.3,98.2,99.9,101.4,103.3,105.2,106.9,108.4,109.9
44,Utah,33.6,34.2,34.7,35.3,35.7,36.3,37.0,37.8,38.5
45,Vermont,67.9,68.0,67.9,67.9,67.8,67.8,67.7,67.8,68.0
46,Virginia,202.6,205.1,207.3,209.0,210.5,211.8,213.0,214.4,215.7
47,Washington,101.2,102.6,103.7,104.8,106.1,107.8,109.8,111.7,113.4
48,West Virginia,77.1,77.2,77.2,77.1,76.9,76.6,76.2,75.6,75.1
49,Wisconsin,105.0,105.3,105.6,105.9,106.2,106.4,106.6,106.9,107.3
50,Wyoming,5.8,5.8,5.9,6.0,6.0,6.0,6.0,6.0,6.0
